,timestamp,id,area,subarea,temperature,longitude,latitude
0,0,0,1,6,20.81,3.6,7.4
1,1,0,1,6,20.5,3.6,7.4
2,2,0,1,6,20.77,3.6,7.4
3,3,0,1,6,21.04904761904762,3.6,7.4
4,4,0,1,6,20.84,3.6,7.4
5,5,0,1,6,21.44,3.6,7.4
6,6,0,1,6,21.41,3.6,7.4
7,7,0,1,6,20.61,3.6,7.4
8,8,0,1,6,20.25,3.6,7.4
9,9,0,1,6,21.04904761904762,3.6,7.4
10,10,0,1,6,20.5,3.6,7.4
11,11,0,1,6,21.71,3.6,7.4
12,12,0,1,6,21.04904761904762,3.6,7.4
13,13,0,1,6,20.35,3.6,7.4
14,14,0,1,6,21.58,3.6,7.4
15,15,0,1,6,21.2,3.6,7.4
16,16,0,1,6,20.83,3.6,7.4
17,17,0,1,6,20.86,3.6,7.4
18,18,0,1,6,20.58,3.6,7.4
19,19,0,1,6,20.67,3.6,7.4
20,20,0,1,6,21.88,3.6,7.4
21,21,0,1,6,20.74,3.6,7.4
22,22,0,1,6,20.87,3.6,7.4
23,23,0,1,6,20.46,3.6,7.4
24,24,0,1,6,19.89,3.6,7.4
25,25,0,1,6,20.71,3.6,7.4
26,26,0,1,6,20.86,3.6,7.4
27,27,0,1,6,21.06,3.6,7.4
28,28,0,1,6,20.18,3.6,7.4
29,29,0,1,6,21.02,3.6,7.4
30,30,0,1,6,21.22,3.6,7.4
31,31,0,1,6,20.91,3.6,7.4
32,32,0,1,6,20.52,3.6,7.4
33,33,0,1,6,20.11,3.6,7.4
34,34,0,1,6,21.41,3.6,7.4
35,35,0,1,6,21.07,3.6,7.4
36,36,0,1,6,21.03,3.6,7.4
37,37,0,1,6,21.04904761904762,3.6,7.4
38,38,0,1,6,21.97,3.6,7.4
39,39,0,1,6,21.56,3.6,7.4
40,40,0,1,6,21.68,3.6,7.4
41,41,0,1,6,21.42,3.6,7.4
42,42,0,1,6,21.04904761904762,3.6,7.4
43,43,0,1,6,21.27,3.6,7.4
44,44,0,1,6,21.97,3.6,7.4
45,45,0,1,6,21.13,3.6,7.4
46,46,0,1,6,21.18,3.6,7.4
47,47,0,1,6,20.74,3.6,7.4
48,48,0,1,6,21.04904761904762,3.6,7.4
49,49,0,1,6,21.11,3.6,7.4
50,50,0,1,6,20.44,3.6,7.4
51,51,0,1,6,21.67,3.6,7.4
