timestamp,id,area,subarea,temperature,longitude,latitude
0,0,1,6,20.81,3.6,7.4
1,0,1,6,20.5,3.6,7.4
2,0,1,6,20.77,3.6,7.4
3,0,1,6,nan,3.6,7.4
4,0,1,6,20.84,3.6,7.4
5,0,1,6,21.44,3.6,7.4
6,0,1,6,21.41,3.6,7.4
7,0,1,6,20.61,3.6,7.4
8,0,1,6,20.25,3.6,7.4
9,0,1,6,nan,3.6,7.4
10,0,1,6,20.5,3.6,7.4
11,0,1,6,21.71,3.6,7.4
12,0,1,6,nan,3.6,7.4
13,0,1,6,20.35,3.6,7.4
14,0,1,6,21.58,3.6,7.4
15,0,1,6,21.2,3.6,7.4
16,0,1,6,20.83,3.6,7.4
17,0,1,6,20.86,3.6,7.4
18,0,1,6,20.58,3.6,7.4
19,0,1,6,20.67,3.6,7.4
20,0,1,6,21.88,3.6,7.4
21,0,1,6,20.74,3.6,7.4
22,0,1,6,20.87,3.6,7.4
23,0,1,6,20.46,3.6,7.4
24,0,1,6,19.89,3.6,7.4
25,0,1,6,20.71,3.6,7.4
26,0,1,6,20.86,3.6,7.4
27,0,1,6,21.06,3.6,7.4
28,0,1,6,20.18,3.6,7.4
29,0,1,6,21.02,3.6,7.4
30,0,1,6,21.22,3.6,7.4
31,0,1,6,20.91,3.6,7.4
32,0,1,6,20.52,3.6,7.4
33,0,1,6,20.11,3.6,7.4
34,0,1,6,21.41,3.6,7.4
35,0,1,6,21.07,3.6,7.4
36,0,1,6,21.03,3.6,7.4
37,0,1,6,nan,3.6,7.4
38,0,1,6,21.97,3.6,7.4
39,0,1,6,21.56,3.6,7.4
40,0,1,6,21.68,3.6,7.4
41,0,1,6,21.42,3.6,7.4
42,0,1,6,nan,3.6,7.4
43,0,1,6,21.27,3.6,7.4
44,0,1,6,21.97,3.6,7.4
45,0,1,6,21.13,3.6,7.4
46,0,1,6,21.18,3.6,7.4
47,0,1,6,20.74,3.6,7.4
48,0,1,6,nan,3.6,7.4
49,0,1,6,21.11,3.6,7.4
50,0,1,6,20.44,3.6,7.4
51,0,1,6,21.67,3.6,7.4
52,0,1,6,20.94,3.6,7.4
53,0,1,6,nan,3.6,7.4
54,0,1,6,21.43,3.6,7.4
55,0,1,6,20.99,3.6,7.4
56,0,1,6,21.03,3.6,7.4
57,0,1,6,19.69,3.6,7.4
58,0,1,6,nan,3.6,7.4
59,0,1,6,20.93,3.6,7.4
60,0,1,6,21.01,3.6,7.4
61,0,1,6,19.83,3.6,7.4
62,0,1,6,20.8,3.6,7.4
63,0,1,6,nan,3.6,7.4
64,0,1,6,20.7,3.6,7.4
65,0,1,6,21.6,3.6,7.4
66,0,1,6,21.06,3.6,7.4
67,0,1,6,nan,3.6,7.4
68,0,1,6,20.19,3.6,7.4
69,0,1,6,21.31,3.6,7.4
70,0,1,6,21.22,3.6,7.4
71,0,1,6,21.73,3.6,7.4
72,0,1,6,nan,3.6,7.4
73,0,1,6,19.82,3.6,7.4
74,0,1,6,20.14,3.6,7.4
75,0,1,6,21.26,3.6,7.4
76,0,1,6,21.53,3.6,7.4
77,0,1,6,20.46,3.6,7.4
78,0,1,6,20.83,3.6,7.4
79,0,1,6,21.75,3.6,7.4
80,0,1,6,21.02,3.6,7.4
81,0,1,6,21.55,3.6,7.4
82,0,1,6,22.2,3.6,7.4
83,0,1,6,nan,3.6,7.4
84,0,1,6,22.18,3.6,7.4
85,0,1,6,19.68,3.6,7.4
86,0,1,6,20.52,3.6,7.4
87,0,1,6,nan,3.6,7.4
88,0,1,6,20.93,3.6,7.4
89,0,1,6,20.66,3.6,7.4
90,0,1,6,21.36,3.6,7.4
91,0,1,6,21.8,3.6,7.4
92,0,1,6,22.01,3.6,7.4
93,0,1,6,20.88,3.6,7.4
94,0,1,6,21.03,3.6,7.4
95,0,1,6,21.48,3.6,7.4
96,0,1,6,21.09,3.6,7.4
97,0,1,6,21.09,3.6,7.4
98,0,1,6,20.45,3.6,7.4
99,0,1,6,21.34,3.6,7.4
100,0,1,6,20.45,3.6,7.4
101,0,1,6,20.52,3.6,7.4
102,0,1,6,21.51,3.6,7.4
103,0,1,6,21.04,3.6,7.4
104,0,1,6,21.86,3.6,7.4
105,0,1,6,21.83,3.6,7.4
106,0,1,6,22.07,3.6,7.4
107,0,1,6,21.18,3.6,7.4
108,0,1,6,21.13,3.6,7.4
109,0,1,6,22.21,3.6,7.4
110,0,1,6,22.58,3.6,7.4
111,0,1,6,20.81,3.6,7.4
112,0,1,6,21.26,3.6,7.4
113,0,1,6,21.11,3.6,7.4
114,0,1,6,21.46,3.6,7.4
115,0,1,6,20.89,3.6,7.4
116,0,1,6,19.66,3.6,7.4
117,0,1,6,nan,3.6,7.4
118,0,1,6,nan,3.6,7.4
119,0,1,6,22.07,3.6,7.4
0,1,1,1,20.9,2,8
